epochs:100	 Clusters:20
value_1:19	value_2:15	 value_3:39	 cluster:9
value_1:24	value_2:60	 value_3:52	 cluster:19
value_1:47	value_2:60	 value_3:47	 cluster:6
value_1:27	value_2:60	 value_3:50	 cluster:19
value_1:48	value_2:61	 value_3:42	 cluster:6
value_1:20	value_2:61	 value_3:49	 cluster:7
value_1:23	value_2:62	 value_3:41	 cluster:7
value_1:49	value_2:62	 value_3:48	 cluster:6
value_1:67	value_2:62	 value_3:59	 cluster:5
value_1:26	value_2:62	 value_3:55	 cluster:19
value_1:49	value_2:62	 value_3:56	 cluster:6
value_1:21	value_2:62	 value_3:42	 cluster:7
value_1:66	value_2:63	 value_3:50	 cluster:5
value_1:54	value_2:63	 value_3:46	 cluster:6
value_1:68	value_2:63	 value_3:43	 cluster:5
value_1:66	value_2:63	 value_3:48	 cluster:5
value_1:65	value_2:63	 value_3:52	 cluster:5
value_1:19	value_2:63	 value_3:54	 cluster:7
value_1:38	value_2:64	 value_3:42	 cluster:19
value_1:19	value_2:64	 value_3:46	 cluster:7
value_1:18	value_2:65	 value_3:48	 cluster:7
value_1:19	value_2:65	 value_3:50	 cluster:7
value_1:63	value_2:65	 value_3:43	 cluster:5
value_1:49	value_2:65	 value_3:59	 cluster:6
value_1:51	value_2:67	 value_3:43	 cluster:6
value_1:50	value_2:67	 value_3:57	 cluster:6
value_1:27	value_2:67	 value_3:56	 cluster:19
value_1:38	value_2:67	 value_3:40	 cluster:19
value_1:40	value_2:69	 value_3:58	 cluster:19
value_1:39	value_2:69	 value_3:91	 cluster:8
value_1:23	value_2:70	 value_3:29	 cluster:19
value_1:31	value_2:70	 value_3:77	 cluster:4
value_1:43	value_2:71	 value_3:35	 cluster:19
value_1:40	value_2:71	 value_3:95	 cluster:8
value_1:59	value_2:71	 value_3:11	 cluster:12
value_1:38	value_2:71	 value_3:75	 cluster:4
value_1:47	value_2:71	 value_3:9	 cluster:12
value_1:39	value_2:71	 value_3:75	 cluster:4
value_1:25	value_2:72	 value_3:34	 cluster:19
value_1:31	value_2:72	 value_3:71	 cluster:4
value_1:20	value_2:73	 value_3:5	 cluster:18
value_1:29	value_2:73	 value_3:88	 cluster:8
value_1:44	value_2:73	 value_3:7	 cluster:12
value_1:32	value_2:73	 value_3:73	 cluster:4
value_1:19	value_2:74	 value_3:10	 cluster:18
value_1:35	value_2:74	 value_3:72	 cluster:4
value_1:57	value_2:75	 value_3:5	 cluster:12
value_1:32	value_2:75	 value_3:93	 cluster:8
value_1:28	value_2:76	 value_3:40	 cluster:19
value_1:32	value_2:76	 value_3:87	 cluster:8
value_1:25	value_2:77	 value_3:12	 cluster:18
value_1:28	value_2:77	 value_3:97	 cluster:8
value_1:48	value_2:77	 value_3:36	 cluster:19
value_1:32	value_2:77	 value_3:74	 cluster:4
value_1:34	value_2:78	 value_3:22	 cluster:18
value_1:34	value_2:78	 value_3:90	 cluster:8
value_1:43	value_2:78	 value_3:17	 cluster:16
value_1:39	value_2:78	 value_3:88	 cluster:8
value_1:44	value_2:78	 value_3:20	 cluster:16
value_1:38	value_2:78	 value_3:76	 cluster:4
value_1:47	value_2:78	 value_3:16	 cluster:16
value_1:27	value_2:78	 value_3:89	 cluster:8
value_1:37	value_2:78	 value_3:1	 cluster:18
value_1:30	value_2:78	 value_3:78	 cluster:4
value_1:34	value_2:78	 value_3:1	 cluster:18
value_1:30	value_2:78	 value_3:73	 cluster:4
value_1:56	value_2:79	 value_3:35	 cluster:17
value_1:29	value_2:79	 value_3:83	 cluster:8
value_1:19	value_2:81	 value_3:5	 cluster:18
value_1:31	value_2:81	 value_3:93	 cluster:8
value_1:50	value_2:85	 value_3:26	 cluster:17
value_1:36	value_2:85	 value_3:75	 cluster:4
value_1:42	value_2:86	 value_3:20	 cluster:16
value_1:33	value_2:86	 value_3:95	 cluster:8
value_1:36	value_2:87	 value_3:27	 cluster:18
value_1:32	value_2:87	 value_3:63	 cluster:15
value_1:40	value_2:87	 value_3:13	 cluster:2
value_1:28	value_2:87	 value_3:75	 cluster:15
value_1:36	value_2:87	 value_3:10	 cluster:2
value_1:36	value_2:87	 value_3:92	 cluster:8
value_1:52	value_2:88	 value_3:13	 cluster:17
value_1:30	value_2:88	 value_3:86	 cluster:15
value_1:58	value_2:88	 value_3:15	 cluster:17
value_1:27	value_2:88	 value_3:69	 cluster:15
value_1:59	value_2:93	 value_3:14	 cluster:17
value_1:35	value_2:93	 value_3:90	 cluster:15
value_1:37	value_2:97	 value_3:32	 cluster:18
value_1:32	value_2:97	 value_3:86	 cluster:15
value_1:46	value_2:98	 value_3:15	 cluster:18
value_1:29	value_2:98	 value_3:88	 cluster:15
value_1:41	value_2:99	 value_3:39	 cluster:19
value_1:30	value_2:99	 value_3:97	 cluster:15
value_1:54	value_2:101	 value_3:-1564234204	 cluster:20
value_1:28	value_2:101	 value_3:68	 cluster:15
value_1:41	value_2:103	 value_3:17	 cluster:10
value_1:36	value_2:103	 value_3:85	 cluster:15
value_1:34	value_2:103	 value_3:23	 cluster:18
value_1:32	value_2:103	 value_3:69	 cluster:15
value_1:33	value_2:113	 value_3:8	 cluster:10
value_1:38	value_2:113	 value_3:91	 cluster:15
value_1:47	value_2:120	 value_3:16	 cluster:10
value_1:35	value_2:120	 value_3:79	 cluster:15
value_1:45	value_2:126	 value_3:28	 cluster:10
value_1:32	value_2:126	 value_3:74	 cluster:15
value_1:32	value_2:137	 value_3:18	 cluster:10
value_1:30	value_2:137	 value_3:83	 cluster:15
